,CD_ID,P_Democrat,P_Republican,Pop,Females,Median_Age,Veterans,White_People,Afr_Am_People,Asian,American_Ind_Alk_Ntv,Cuban_Origin,Puerto_Rican_Origin,Dominican_Origin,Mexican_Origin,Native_US,Foreign_Born,Children,Married_Households,Less_Highschool,Bachelor_Holders,Labor_Force_Eligible,Unemployed,Median_Household_Income,Median_Income,Below_Poverty_Level_LTM,Wealthy_Households,Gini_Index,Median_Age_Of_Worker,Workers,Working_Agricult,Working_Construction,Working_Manufacturing,Working_Retail,Working_Transportation,Working_Finance,Working_Education,Working_Health,Working_Food,Working_Public_Admin,Working_Information,Median_Gross_Rent,District_Name,State_Id,CD,State_Full,State,Health_insurance_coverage,Turn_Out,Approval_Rate_Predecessor,Vote_2012,Vote_2016,Vote_2020
179,MA-01,57.2,36.5,736481,382295,41.0,42469,626384,51375,15458,1622,1289,118088,5351,3803,627469,53930,150902,124531,61694,94022,360215,1060,57381,30452,101651,15211,0.4640,41.1,350075,2212,19152,36001,36245,18515,21464,44224,66669,21862,15776,5305,900,"Congressional District 1 (116th Congress), Massachusetts",25,01,Massachusetts,MA,97.2,0.5459033599,39.36666667,333678.0,339326.0,345069.60086071
180,MA-02,56.2,36.8,745347,380142,39.9,38181,613709,39762,45415,1346,2069,39779,8641,6800,617056,103528,143245,133015,37783,119076,386449,415,70311,33598,66298,25774,0.4646,40.1,383131,2455,21107,36544,39590,18723,23322,58254,65465,22015,13914,6838,1072,"Congressional District 2 (116th Congress), Massachusetts",25,02,Massachusetts,MA,97.9,0.5459033599,39.36666667,339921.0,351423.0,363314.1963250285
181,MA-03,58.2,35.4,771096,388664,39.2,27841,572967,32434,58988,2247,1311,55511,62753,4492,601212,139479,172599,137130,58110,114095,417758,386,77480,35321,75189,32145,0.4638,41.1,395716,782,24355,57978,46160,15960,22766,36831,58917,26801,12889,8252,1201,"Congressional District 3 (116th Congress), Massachusetts",25,03,Massachusetts,MA,96.1,0.5459033599,39.36666667,332925.0,348563.0,364935.54094465723
182,MA-04,59.2,35,766019,400203,41.3,33129,651373,26402,50401,1147,1412,14619,1286,3712,645322,109098,168886,157762,34710,132913,411911,296,98914,42398,48043,55280,0.5003,42.5,402996,1032,18741,34044,43288,14869,32233,48089,66418,19847,16307,8559,1290,"Congressional District 4 (116th Congress), Massachusetts",25,04,Massachusetts,MA,98.2,0.5459033599,39.36666667,370160.0,381767.0,393737.9573400692
183,MA-05,69.3,25.7,775135,396616,39.1,24318,581993,43210,99306,424,1567,14651,5080,7756,566552,193361,148490,148570,33089,160452,440308,419,100393,47209,52382,63588,0.4805,39.5,434824,1491,16763,35777,34810,12113,34486,63417,64343,23643,13888,14455,1734,"Congressional District 5 (116th Congress), Massachusetts",25,05,Massachusetts,MA,97.8,0.5459033599,39.36666667,362013.0,373498.0,385347.36598961917
184,MA-06,56.1,38.2,780524,405569,43.0,36014,659720,34650,37038,1015,1079,13668,30895,5306,651977,118214,159110,155264,41683,150394,422198,170,88537,40339,61586,46586,0.4786,42.3,410662,1840,25804,36835,40285,16219,28628,41174,64377,27057,15045,8463,1392,"Congressional District 6 (116th Congress), Massachusetts",25,06,Massachusetts,MA,97.9,0.5459033599,39.36666667,387259.0,401046.0,415323.8378346275
185,MA-07,84.1,11.9,820086,423847,31.7,15150,413896,198972,88517,4105,3366,36400,41147,11318,532150,259491,136464,90282,82545,139190,460815,0,70019,31819,139480,32848,0.5123,32.8,452855,439,17982,22974,37684,17810,32710,64538,79856,41010,15115,9459,1656,"Congressional District 7 (116th Congress), Massachusetts",25,07,Massachusetts,MA,95.6,0.5459033599,39.36666667,283031.0,301939.0,322110.1565588222
186,MA-08,60.4,34.4,764891,389528,39.2,33047,565686,85908,66187,1504,1782,12979,9196,3719,607602,142967,146138,135105,43485,154738,441995,409,91643,44464,54144,49020,0.4720,39.1,425766,1222,25779,22663,40510,16337,44113,41288,73941,30382,16158,8836,1510,"Congressional District 8 (116th Congress), Massachusetts",25,08,Massachusetts,MA,97.5,0.5459033599,39.36666667,369239.0,382917.0,397101.684515991
187,MA-09,52.5,41.8,742570,384398,45.6,42495,649447,24810,11093,2788,746,24018,2984,4509,648618,78080,141292,143585,53205,113988,381005,134,70895,33958,65145,24846,0.4588,42.6,366959,2805,34278,27557,42209,16376,23796,31014,60571,29884,14078,6684,966,"Congressional District 9 (116th Congress), Massachusetts",25,09,Massachusetts,MA,96.9,0.5459033599,39.36666667,382989.0,391289.0,399768.87461780885
188,MD-01,33.4,62,741621,378412,42.7,49344,604948,91106,15601,996,1699,6722,1376,11052,698148,34618,158632,151548,46620,98879,379556,408,75706,34821,61852,25631,0.4450,42.4,364692,6209,29019,27898,39971,15877,22339,39171,50927,25966,27627,5319,1080,"Congressional District 1 (116th Congress), Maryland",24,01,Maryland,MD,95.6,0.5422356406,39.36666667,355613.5832931672,366231.0914179026,377165.6050904433
