,Pop,Females,Median_Age,Veterans,White_People,Afr_Am_People,Asian,American_Ind_Alk_Ntv,Cuban_Origin,Puerto_Rican_Origin,Dominican_Origin,Mexican_Origin,Native_US,Foreign_Born,Children,Married_Households,Less_Highschool,Bachelor_Holders,Labor_Force_Eligible,Unemployed,Median_Household_Income,Median_Income,Below_Poverty_Level_LTM,Wealthy_Households,Gini_Index,Median_Age_Of_Worker,Workers,Working_Agricult,Working_Construction,Working_Manufacturing,Working_Retail,Working_Transportation,Working_Finance,Working_Education,Working_Health,Working_Food,Working_Public_Admin,Working_Information,Median_Gross_Rent,District_Name,State_Id,CD,State_Full,State,CD_ID
66,701996,355821,38.2,265419,494636,11584,120322,2352,2067,2421,92,91599,520496,174149,155278,138796,31017,152530,20607,0,87229,42471,49870,37937,0.481,40.8,64883,83052,70008,79237,90080,75239,59225,87476,25487,50477,42117,62069,5.2,"Congressional District 48, California (111th Congress)",06,48,California,CA,CA-48
67,748387,370689,32.4,246805,504608,32484,37663,9438,1938,5057,239,223347,591032,147329,211034,138381,80085,71006,24572,2581,61908,26832,75110,9704,0.411,37.8,42366,64417,58129,62170,76534,57963,47256,81256,19536,37947,35110,54049,5.6,"Congressional District 49, California (111th Congress)",06,49,California,CA,CA-49
68,726651,365399,37.1,261049,548507,12696,93867,2924,1332,2666,231,132523,552553,163238,182241,144794,49703,132635,19190,365,79999,35800,56186,28266,0.457,40.7,55060,77923,63795,75539,90261,74782,53281,77969,21761,44058,38440,57607,5.7,"Congressional District 50, California (111th Congress)",06,50,California,CA,CA-50
69,706669,352289,32.0,239333,424275,56546,87602,5633,1098,4094,218,401951,452165,239096,207866,110087,119678,52565,23036,232,50615,22851,105375,4758,0.429,38.8,37321,53836,51301,53010,66284,60083,46290,73163,20221,32861,33561,48022,5.1,"Congressional District 51, California (111th Congress)",06,51,California,CA,CA-51
70,657412,335517,37.0,228621,519527,29349,46432,4707,559,3461,328,102520,551049,96009,166509,128665,44479,88298,17852,118,70315,33031,56198,13658,0.416,41.1,50785,69861,60208,69056,86000,69614,52149,79452,23463,40588,38092,52852,5.5,"Congressional District 52, California (111th Congress)",06,52,California,CA,CA-52
71,646531,315154,31.8,250957,462830,43853,59068,5272,1162,3488,208,177186,488724,147344,123519,84280,63179,99206,21541,2818,50377,27347,110465,11927,0.48,33.8,43074,61487,57613,61243,72408,52437,44296,69865,21418,37698,35922,54001,4.1,"Congressional District 53, California (111th Congress)",06,53,California,CA,CA-53
72,682258,343191,36.9,258675,535874,11772,36453,17479,708,2073,89,126511,576012,97697,155104,119766,64859,75219,23329,16,51036,24283,100888,10833,0.475,39.6,43155,62857,55377,62602,74615,58601,47682,68025,21246,37843,35887,56833,5.1,"Congressional District 1, California (111th Congress)",06,01,California,CA,CA-01
73,645351,319449,33.4,250515,481441,61877,20245,7435,1018,2242,257,169202,526633,110882,146429,95106,71868,104771,13809,6,45044,27576,111792,12249,0.511,35.9,40249,56362,55964,54384,68611,48989,46070,58947,21292,36770,33593,41381,4.9,"Congressional District 1, Colorado (111th Congress)",08,01,Colorado,CO,CO-01
74,710043,346614,33.9,276610,611924,7857,26997,4044,796,1437,254,99467,625438,76194,169276,135245,42401,118897,21616,25,64851,31849,69942,13612,0.432,38.4,45890,62752,55027,61920,77872,63862,44460,64019,24600,39411,36767,44380,5.9,"Congressional District 2, Colorado (111th Congress)",08,02,Colorado,CO,CO-02
75,680544,340056,38.3,256147,595499,5581,4282,13103,615,1553,18,95914,638868,35711,162994,140800,57353,79197,21107,6,46744,23787,90880,7338,0.454,40.6,37592,48921,50730,46725,59322,56004,36116,49994,18771,32197,29460,39077,5.4,"Congressional District 3, Colorado (111th Congress)",08,03,Colorado,CO,CO-03
76,702973,348415,34.4,265500,623518,6400,10295,5039,555,1659,94,111651,639167,57568,172869,141238,55644,89592,23019,13,51454,24744,95531,8023,0.443,38.4,39993,54571,49561,54120,78884,55192,44462,50586,18319,34484,32268,40251,5.9,"Congressional District 4, Colorado (111th Congress)",08,04,Colorado,CO,CO-04
77,687775,339179,35.8,241450,562881,39144,17330,6705,678,5888,209,55716,620786,47904,173255,138338,39059,90497,20864,1806,54322,27122,71120,8296,0.429,39.9,40941,58195,54140,57657,77055,59779,42637,52091,21722,33216,31505,40417,6.1,"Congressional District 5, Colorado (111th Congress)",08,05,Colorado,CO,CO-05
78,760304,382236,37.6,271005,674022,20139,27225,3462,1182,2701,233,38941,697487,53300,206751,176759,19971,158813,21832,0,85500,40779,34409,25575,0.404,42.3,57622,72889,65213,69609,84024,75286,51333,63956,22815,46465,40409,48965,7.0,"Congressional District 6, Colorado (111th Congress)",08,06,Colorado,CO,CO-06
79,656221,329159,35.2,241977,506094,45600,18962,6230,598,1703,170,136483,554461,94839,165088,118933,65064,79607,17945,6,51369,28333,89900,6012,0.421,39.2,40582,56398,53343,55843,68661,67681,52012,63054,19437,37357,35992,40912,5.6,"Congressional District 7, Colorado (111th Congress)",08,07,Colorado,CO,CO-07
80,694872,362080,39.3,250403,505839,96747,26080,1615,1010,66030,4904,4488,568204,94471,161331,126791,62189,86744,19618,24,61841,31424,70119,13069,0.443,41.4,49117,67449,63156,65671,75229,62601,52097,65316,24094,41323,38386,55033,5.6,"Congressional District 1, Connecticut (111th Congress)",09,01,Connecticut,CT,CT-01
81,713905,357759,39.6,269628,631210,25906,17740,2605,1373,23935,1395,5469,654351,45328,159618,148254,47856,87335,23186,651,70071,32042,44002,14265,0.413,41.6,51249,70123,65415,67689,76385,80060,52682,65966,27260,41281,38400,57176,6.0,"Congressional District 2, Connecticut (111th Congress)",09,02,Connecticut,CT,CT-02
